14	"auc of bleu-4 score"	local:of_bleu-4score	"auc"
14	"auc of bleu-4 score"	local:AUC_of	"bleu-4 score"
14	"bleu-4 score of 24.4"	local:of_24.4	"bleu-4 score"
14	"bleu-4 score of 24.4"	local:bleu-4score_of	"24.4"
14	"can achieve for question summarization"	local:for_questionsummarization	"can achieve"
14	"can achieve for question summarization"	local:canachieve_for	"question summarization"
15	"question summarization"	rdfs:subClassOf	"summarization"
15	"question"	local:partOf	"question summarization"
15	"bleu-4"	local:partOf	"bleu-4 score"
15	"natural"	local:partOf	"natural question"
15	"state-of-art"	local:partOf	"state-of-art baselines"
15	"natural question"	local:partOf	"natural question generation"
15	"question generation"	rdfs:subClassOf	"generation"
15	"natural question generation"	rdfs:subClassOf	"generation"
15	"bleu-4 score"	rdfs:subClassOf	"score"
15	"state-of-art baselines"	rdfs:subClassOf	"baselines"
15	"natural question"	rdfs:subClassOf	"question"
15	"question"	local:partOf	"question generation"
15	"natural question generation"	rdfs:subClassOf	"question generation"
15	"can achieve"	rdfs:subClassOf	"achieve"
15	"auc of bleu-4 score"	local:of_bleu-4score	"auc"
15	"auc of bleu-4 score"	local:AUC_of	"bleu-4 score"
15	"bleu-4 score of 12.46"	local:of_12.46	"bleu-4 score"
15	"bleu-4 score of 12.46"	local:bleu-4score_of	"12.46"
15	"bleu-4 score of 12.46 for natural question generation"	local:for_naturalquestiongeneration	"bleu-4 score of 12.46"
15	"bleu-4 score of 12.46 for natural question generation"	local:bleu-4scoreof12.46_for	"natural question generation"
15	"natural question generation for question summarization"	local:for_questionsummarization	"natural question generation"
15	"natural question generation for question summarization"	local:naturalquestiongeneration_for	"question summarization"
16	"question summarization"	rdfs:subClassOf	"summarization"
16	"question"	local:partOf	"question summarization"
16	"document attention map"	local:partOf	"document attention map prediction"
16	"document attention map prediction"	rdfs:subClassOf	"prediction"
16	"document attention"	local:partOf	"document attention map"
16	"document"	local:partOf	"document attention"
16	"state-of-art"	local:partOf	"state-of-art baselines"
16	"map prediction"	rdfs:subClassOf	"prediction"
16	"attention map"	rdfs:subClassOf	"map"
16	"document attention map"	rdfs:subClassOf	"map"
16	"attention map prediction"	rdfs:subClassOf	"prediction"
16	"attention"	local:partOf	"attention map"
16	"attention map"	local:partOf	"attention map prediction"
16	"state-of-art baselines"	rdfs:subClassOf	"baselines"
16	"document attention"	rdfs:subClassOf	"attention"
16	"map"	local:partOf	"map prediction"
16	"attention map prediction"	rdfs:subClassOf	"map prediction"
16	"document attention map prediction"	rdfs:subClassOf	"attention map prediction"
16	"can achieve"	rdfs:subClassOf	"achieve"
16	"auc of 0.734"	local:of_0.734	"auc"
16	"auc of 0.734"	local:AUC_of	"0.734"
16	"auc of 0.734 for document attention map prediction"	local:for_documentattentionmapprediction	"auc of 0.734"
16	"auc of 0.734 for document attention map prediction"	local:AUCof0.734_for	"document attention map prediction"
16	"document attention map prediction for question summarization"	local:for_questionsummarization	"document attention map prediction"
16	"document attention map prediction for question summarization"	local:documentattentionmapprediction_for	"question summarization"
