2	"scientific"	rdfs:member	"scientific datasets"
2	"scientific datasets"	rdfs:subClassOf	"datasets"
2	"efficient reliable"	rdfs:subClassOf	"reliable"
2	"exist"	vn.role:Location	"efficient reliable"
2	"scientific"	rdfs:member	"scientific datasets"
2	"scientific datasets"	rdfs:subClassOf	"datasets"
2	"publishing"	vn.role:Product	"scientific datasets"
3	"scientific"	rdfs:member	"scientific datasets"
3	"scientific datasets"	rdfs:subClassOf	"datasets"
3	"publishing"	vn.role:Agent	"scientific datasets"
3	"scientific"	rdfs:member	"scientific datasets"
3	"scientific datasets"	rdfs:subClassOf	"datasets"
3	"become"	vn.role:Patient	"scientific datasets"
3	"increasingly important"	rdfs:subClassOf	"important"
3	"increasingly important for science"	local:for_science	"increasingly important"
3	"increasingly important for science"	local:increasinglyimportant_for	"science"
3	"become"	vn.role:indirect_object	"increasingly important for science"
4	"particular there"	rdfs:subClassOf	"there"
4	"exist"	local:AM-LOC	"particular there"
4	"exist"	local:AM-TMP	"currently"
4	"scientific"	rdfs:member	"scientific datasets"
4	"agreed-upon"	rdfs:member	"agreed-upon methods"
4	"scientific datasets"	rdfs:subClassOf	"datasets"
4	"agreed-upon methods"	rdfs:subClassOf	"methods"
4	"exist"	vn.role:Location	"agreed-upon methods"
4	"scientific"	rdfs:member	"scientific datasets"
4	"scientific datasets"	rdfs:subClassOf	"datasets"
4	"publishing"	vn.role:Product	"scientific datasets"
5	"propose"	vn.role:Agent	"we"
5	"top-down control"	rdfs:subClassOf	"control"
5	"scientific data"	rdfs:member	"scientific data publishing"
5	"data publishing"	rdfs:subClassOf	"publishing"
5	"central"	rdfs:member	"central authorities"
5	"publishing companies"	rdfs:subClassOf	"companies"
5	"bottom-up process"	rdfs:subClassOf	"process"
5	"web-based bottom-up"	rdfs:member	"web-based bottom-up process"
5	"web-based"	rdfs:member	"web-based bottom-up"
5	"central authorities"	rdfs:subClassOf	"authorities"
5	"scientific data publishing"	rdfs:subClassOf	"publishing"
5	"top-down"	rdfs:member	"top-down control"
5	"publishing"	rdfs:member	"publishing companies"
5	"bottom-up"	rdfs:member	"bottom-up process"
5	"scientific data"	rdfs:subClassOf	"data"
5	"scientific"	rdfs:member	"scientific data"
5	"web-based bottom-up process"	rdfs:subClassOf	"process"
5	"web-based bottom-up"	rdfs:subClassOf	"bottom-up"
5	"data"	rdfs:member	"data publishing"
5	"web-based bottom-up process"	rdfs:subClassOf	"bottom-up process"
5	"scientific data publishing"	rdfs:subClassOf	"data publishing"
5	"design scientific data publishing"	rdfs:subClassOf	"scientific data publishing"
5	"design scientific data publishing as web-based bottom-up process"	local:as_web-basedbottom-upprocess	"design scientific data publishing"
5	"design scientific data publishing as web-based bottom-up process"	local:designscientificdatapublishing_as	"web-based bottom-up process"
5	"top-down control of central authorities"	local:of_centralauthorities	"top-down control"
5	"top-down control of central authorities"	local:top-downcontrol_of	"central authorities"
5	"central authorities such_as publishing companies"	local:such_as_publishingcompanies	"central authorities"
