0	"use of blogs"	local:of_blogs	"use"
14	"using"	vn.role:Theme	"large-scale blog entries"
15	"experimental results"	rdfs:subClassOf	"results"
15	"experimental"	rdfs:member	"experimental results"
15	"demonstrate"	vn.role:Recipient	"experimental results"
15	"music domain"	rdfs:member	"music domain ontologies"
15	"domain"	rdfs:member	"domain ontologies"
15	"music"	rdfs:member	"music domain"
15	"domain ontologies"	rdfs:subClassOf	"ontologies"
15	"music domain"	rdfs:subClassOf	"domain"
15	"music domain ontologies"	rdfs:subClassOf	"ontologies"
15	"music domain ontologies"	rdfs:subClassOf	"domain ontologies"
15	"methods using"	local:_using	"methods"
15	"methods using"	local:methods_	"using"
15	"demonstrate"	vn.role:Cause	"performance"
15	"experimental results"	rdfs:subClassOf	"results"
15	"experimental"	rdfs:member	"experimental results"
15	"performance of we"	local:of_we	"performance"
15	"performance of we"	local:performance_of	"we"
15	"proposed"	vn.role:Agent	"experimental results"
15	"music domain"	rdfs:member	"music domain ontologies"
15	"domain"	rdfs:member	"domain ontologies"
15	"music"	rdfs:member	"music domain"
15	"domain ontologies"	rdfs:subClassOf	"ontologies"
15	"music domain"	rdfs:subClassOf	"domain"
15	"music domain ontologies"	rdfs:subClassOf	"ontologies"
15	"music domain ontologies"	rdfs:subClassOf	"domain ontologies"
15	"methods using"	local:_using	"methods"
15	"methods using"	local:methods_	"using"
15	"proposed"	vn.role:Topic	"methods using"
15	"music domain"	rdfs:member	"music domain ontologies"
15	"domain"	rdfs:member	"domain ontologies"
15	"music"	rdfs:member	"music domain"
15	"domain ontologies"	rdfs:subClassOf	"ontologies"
15	"music domain"	rdfs:subClassOf	"domain"
15	"music domain ontologies"	rdfs:subClassOf	"ontologies"
15	"music domain ontologies"	rdfs:subClassOf	"domain ontologies"
15	"using"	vn.role:Theme	"music domain ontologies"
16	"present"	vn.role:Agent	"we"
16	"experimental results"	rdfs:subClassOf	"results"
16	"experimental"	rdfs:member	"experimental results"
16	"present"	vn.role:Theme	"experimental results"
