12	"addresses"	vn.role:Theme	"novel problem"
12	"structured queries"	rdfs:subClassOf	"queries"
12	"structured"	rdfs:member	"structured queries"
12	"sequence of structured queries"	local:of_structuredqueries	"sequence"
12	"sequence of structured queries"	local:sequence_of	"structured queries"
12	"using"	vn.role:Theme	"sequence of structured queries"
13	"experimental results"	rdfs:subClassOf	"results"
13	"experimental"	rdfs:member	"experimental results"
13	"show"	vn.role:Agent	"experimental results"
13	"state-of-the-art technique"	rdfs:subClassOf	"technique"
13	"ambiguous queries"	rdfs:subClassOf	"queries"
13	"ambiguous"	rdfs:member	"ambiguous queries"
13	"state-of-the-art"	rdfs:member	"state-of-the-art technique"
13	"particularly ambiguous queries"	rdfs:subClassOf	"ambiguous queries"
13	"state-of-the-art technique on efficiency"	local:on_efficiency	"state-of-the-art technique"
13	"state-of-the-art technique on efficiency"	local:state-of-the-arttechnique_on	"efficiency"
13	"state-of-the-art technique on efficiency on effectiveness"	local:on_effectiveness	"state-of-the-art technique on efficiency"
13	"state-of-the-art technique on efficiency on effectiveness"	local:state-of-the-arttechniqueonefficiency_on	"effectiveness"
13	"state-of-the-art technique on efficiency on effectiveness for particularly ambiguous queries"	local:for_particularlyambiguousqueries	"state-of-the-art technique on efficiency on effectiveness"
13	"state-of-the-art technique on efficiency on effectiveness for particularly ambiguous queries"	local:state-of-the-arttechniqueonefficiencyoneffectiveness_for	"particularly ambiguous queries"
13	"show"	vn.role:Theme	"outperforms"
13	"outperforms"	vn.role:Theme1	"approach"
13	"state-of-the-art technique"	rdfs:subClassOf	"technique"
13	"state-of-the-art"	rdfs:member	"state-of-the-art technique"
13	"state-of-the-art technique on efficiency"	local:on_efficiency	"state-of-the-art technique"
13	"state-of-the-art technique on efficiency"	local:state-of-the-arttechnique_on	"efficiency"
13	"state-of-the-art technique on efficiency on effectiveness"	local:on_effectiveness	"state-of-the-art technique on efficiency"
13	"state-of-the-art technique on efficiency on effectiveness"	local:state-of-the-arttechniqueonefficiency_on	"effectiveness"
13	"outperforms"	vn.role:Theme2	"state-of-the-art technique on efficiency on effectiveness"
13	"ambiguous queries"	rdfs:subClassOf	"queries"
13	"ambiguous"	rdfs:member	"ambiguous queries"
13	"particularly ambiguous queries"	rdfs:subClassOf	"ambiguous queries"
13	"outperforms"	vn.role:Attribute	"particularly ambiguous queries"
14	"experimental results"	rdfs:subClassOf	"results"
14	"experimental"	rdfs:member	"experimental results"
14	"presented"	vn.role:Theme	"experimental results"
14	"dbpedia"	rdfs:member	"dbpedia dataset"
14	"dbpedia dataset"	rdfs:subClassOf	"dataset"
14	"presented"	local:AM-LOC	"dbpedia dataset"
