12	"effectual change"	rdfs:subClassOf	"change"
12	"logically"	rdfs:member	"logically effectual"
12	"logically effectual change"	rdfs:subClassOf	"change"
12	"logically effectual"	rdfs:subClassOf	"effectual"
12	"change:"	vn.role:object	"effectual change"
12	"logically effectual"	rdfs:member	"logically effectual change"
12	"effectual"	rdfs:member	"effectual change"
12	"standard semantic difference"	rdfs:subClassOf	"difference"
12	"standard semantic"	rdfs:member	"standard semantic difference"
12	"standard semantic"	rdfs:subClassOf	"semantic"
12	"semantic difference"	rdfs:subClassOf	"difference"
12	"effectual change"	rdfs:subClassOf	"change"
12	"logically"	rdfs:member	"logically effectual"
12	"logically effectual change"	rdfs:subClassOf	"change"
12	"standard"	rdfs:member	"standard semantic"
12	"logically effectual"	rdfs:subClassOf	"effectual"
12	"semantic"	rdfs:member	"semantic difference"
12	"essentially effectual change"	rdfs:subClassOf	"effectual change"
12	"too sensitive"	rdfs:subClassOf	"sensitive"
12	"standard semantic difference"	rdfs:subClassOf	"semantic difference"
12	"second make"	rdfs:subClassOf	"make"
12	"presence of negation"	local:of_negation	"presence"
12	"presence of negation"	local:presence_of	"negation"
12	"affects"	vn.role:Experiencer	"second make"
12	"affects"	local:AM-TMP	"always"
12	"terms in ontology"	local:in_ontology	"terms"
12	"terms in ontology"	local:terms_in	"ontology"
12	"affects"	vn.role:Cause	"terms in ontology"
13	"tackle"	vn.role:Theme	"issues"
13	"tackle"	vn.role:Agent	"we"
13	"formulate"	vn.role:Agent	"we"
13	"model"	rdfs:member	"model inseparability"
13	"minimal change"	rdfs:subClassOf	"change"
13	"central notion"	rdfs:subClassOf	"notion"
13	"central"	rdfs:member	"central notion"
13	"model inseparability"	rdfs:subClassOf	"inseparability"
13	"minimal"	rdfs:member	"minimal change"
13	"change set"	rdfs:subClassOf	"set"
13	"minimal change set"	rdfs:subClassOf	"change set"
13	"minimal change set based"	local:_based	"minimal change set"
13	"minimal change set based"	local:minimalchangeset_	"based"
13	"based on model inseparability"	local:on_modelinseparability	"based"
13	"based on model inseparability"	local:based_on	"model inseparability"
13	"formulate"	vn.role:Material	"central notion"
13	"model"	rdfs:member	"model inseparability"
13	"model inseparability"	rdfs:subClassOf	"inseparability"
13	"minimal"	rdfs:member	"minimal change"
13	"minimal change"	rdfs:subClassOf	"change"
13	"change set"	rdfs:subClassOf	"set"
13	"minimal change set"	rdfs:subClassOf	"change set"
13	"minimal change set based"	local:_based	"minimal change set"
13	"minimal change set based"	local:minimalchangeset_	"based"
13	"based on model inseparability"	local:on_modelinseparability	"based"
13	"based on model inseparability"	local:based_on	"model inseparability"
13	"finding"	vn.role:Theme	"minimal change set based"
13	"minimal"	rdfs:member	"minimal change"
13	"minimal change"	rdfs:subClassOf	"change"
13	"set"	vn.role:Patient	"minimal change"
13	"model"	rdfs:member	"model inseparability"
13	"model inseparability"	rdfs:subClassOf	"inseparability"
13	"set"	local:AM-MNR	"model inseparability"
13	"model"	rdfs:member	"model inseparability"
13	"model inseparability"	rdfs:subClassOf	"inseparability"
13	"based"	vn.role:indirect_object	"model inseparability"
14	"specific to -lrb-"	local:to_-LRB-	"specific"
14	"specific to -lrb-"	local:specific_to	"-lrb-"
14	"affect"	vn.role:Experiencer	"changes"
14	"affect"	local:AM-DIS	"thus"
14	"affect"	local:AM-MNR	"directly"
14	"affect"	vn.role:Cause	"-rrb-"
15	"particular concept names"	rdfs:subClassOf	"names"
15	"particular"	rdfs:member	"particular concept"
15	"concept"	rdfs:member	"concept names"
15	"concept names"	rdfs:subClassOf	"names"
15	"particular concept"	rdfs:subClassOf	"concept"
15	"particular concept"	rdfs:member	"particular concept names"
15	"particular concept names"	rdfs:subClassOf	"concept names"
15	"changes particular concept names"	rdfs:subClassOf	"particular concept names"
15	"present"	vn.role:Theme	"method"
15	"particular concept names"	rdfs:subClassOf	"names"
15	"particular"	rdfs:member	"particular concept"
15	"concept"	rdfs:member	"concept names"
15	"concept names"	rdfs:subClassOf	"names"
15	"particular concept"	rdfs:subClassOf	"concept"
15	"particular concept"	rdfs:member	"particular concept names"
15	"particular concept names"	rdfs:subClassOf	"concept names"
15	"changes particular concept names"	rdfs:subClassOf	"particular concept names"
15	"differentiate"	vn.role:Patient	"changes particular concept names"
16	"devise"	local:AM-TMP	"subsequently"
16	"devise"	vn.role:Agent	"we"
16	"computable approximations"	rdfs:subClassOf	"approximations"
16	"computable"	rdfs:member	"computable approximations"
16	"series of computable approximations"	local:of_computableapproximations	"series"
16	"series of computable approximations"	local:series_of	"computable approximations"
16	"devise"	vn.role:Product	"series of computable approximations"
17	"approximated change"	rdfs:member	"approximated change sets"
17	"approximated change sets"	rdfs:subClassOf	"sets"
17	"change sets"	rdfs:subClassOf	"sets"
17	"nci thesaurus"	rdfs:subClassOf	"thesaurus"
17	"variously approximated change sets"	rdfs:subClassOf	"sets"
17	"variously approximated"	rdfs:subClassOf	"approximated"
17	"variously"	rdfs:member	"variously approximated"
17	"change"	rdfs:member	"change sets"
17	"approximated"	rdfs:member	"approximated change"
17	"approximated change"	rdfs:subClassOf	"change"
17	"variously approximated change"	rdfs:member	"variously approximated change sets"
17	"nci"	rdfs:member	"nci thesaurus"
17	"variously approximated change"	rdfs:subClassOf	"change"
17	"variously approximated"	rdfs:member	"variously approximated change"
17	"versions sets"	rdfs:subClassOf	"sets"
17	"a versions"	rdfs:subClassOf	"versions"
17	"change versions sets"	rdfs:subClassOf	"versions sets"
17	"approximated change versions sets"	rdfs:subClassOf	"change versions sets"
17	"a versions of nci thesaurus"	local:of_ncithesaurus	"a versions"
17	"a versions of nci thesaurus"	local:aversions_of	"nci thesaurus"
17	"compare"	vn.role:Patient2	"approximated change versions sets"
17	"approximated"	local:AM-MNR	"variously"
17	"approximated"	vn.role:Theme	"change"
17	"approximated change"	rdfs:subClassOf	"change"
17	"variously approximated"	rdfs:subClassOf	"approximated"
17	"sets"	vn.role:Agent	"approximated change"
17	"nci"	rdfs:member	"nci thesaurus"
17	"nci thesaurus"	rdfs:subClassOf	"thesaurus"
17	"series of versions"	local:of_versions	"series"
17	"series of versions"	local:series_of	"versions"
17	"versions of nci thesaurus"	local:of_ncithesaurus	"versions"
17	"versions of nci thesaurus"	local:versions_of	"nci thesaurus"
17	"sets"	vn.role:Patient	"series of versions"
