9	"applying"	local:AM-PNC	"discover on service retrieval test collection owls-tc v2"
9	"semantic"	rdfs:member	"semantic constraint"
9	"semantic constraint"	rdfs:subClassOf	"constraint"
9	"discover"	vn.role:Agent	"semantic constraint"
9	"semantic web services"	rdfs:subClassOf	"services"
9	"retrieval test"	rdfs:subClassOf	"test"
9	"test collection"	rdfs:subClassOf	"collection"
9	"test"	rdfs:member	"test collection"
9	"owls-tc"	rdfs:member	"owls-tc v2"
9	"web services"	rdfs:subClassOf	"services"
9	"retrieval"	rdfs:member	"retrieval test"
9	"semantic web"	rdfs:subClassOf	"web"
9	"semantic web"	rdfs:member	"semantic web services"
9	"retrieval test collection"	rdfs:subClassOf	"collection"
9	"semantic"	rdfs:member	"semantic web"
9	"owls-tc v2"	rdfs:subClassOf	"v2"
9	"retrieval test"	rdfs:member	"retrieval test collection"
9	"web"	rdfs:member	"web services"
9	"collection owls-tc v2"	rdfs:subClassOf	"owls-tc v2"
9	"test collection owls-tc v2"	rdfs:subClassOf	"collection owls-tc v2"
9	"retrieval test collection owls-tc v2"	rdfs:subClassOf	"test collection owls-tc v2"
9	"service retrieval test collection owls-tc v2"	rdfs:subClassOf	"retrieval test collection owls-tc v2"
9	"semantic web services"	rdfs:subClassOf	"web services"
9	"semantic web services on service retrieval test collection owls-tc v2"	local:on_serviceretrievaltestcollectionowls-tcv2	"semantic web services"
9	"semantic web services on service retrieval test collection owls-tc v2"	local:semanticwebservices_on	"service retrieval test collection owls-tc v2"
9	"discover"	vn.role:Theme	"semantic web services on service retrieval test collection owls-tc v2"
