10	"approach"	vn.role:object	"we"
10	"combines"	vn.role:Agent	"we"
10	"hypertext-induced topic search"	rdfs:subClassOf	"search"
10	"hypertext-induced"	rdfs:member	"hypertext-induced topic"
10	"topic"	rdfs:member	"topic search"
10	"topic search"	rdfs:subClassOf	"search"
10	"hypertext-induced topic"	rdfs:subClassOf	"topic"
10	"label"	rdfs:member	"label expansion"
10	"label expansion"	rdfs:subClassOf	"expansion"
10	"label expansion"	rdfs:member	"label expansion strategies"
10	"label expansion strategies"	rdfs:subClassOf	"strategies"
10	"hypertext-induced topic"	rdfs:member	"hypertext-induced topic search"
10	"expansion"	rdfs:member	"expansion strategies"
10	"expansion strategies"	rdfs:subClassOf	"strategies"
10	"label expansion strategies"	rdfs:subClassOf	"expansion strategies"
10	"search algorithm"	rdfs:subClassOf	"algorithm"
10	"hypertext-induced topic search"	rdfs:subClassOf	"topic search"
10	"hypertext-induced topic search hits"	local:_hits	"hypertext-induced topic search"
10	"hypertext-induced topic search hits"	local:hypertext-inducedtopicsearch_	"hits"
10	"search algorithm with label expansion strategies"	local:with_labelexpansionstrategies	"search algorithm"
10	"search algorithm with label expansion strategies"	local:searchalgorithm_with	"label expansion strategies"
10	"combines"	vn.role:Patient	"search algorithm with label expansion strategies"
11	"combination agdistis"	rdfs:subClassOf	"agdistis"
11	"based"	vn.role:indirect_object	"combination agdistis"
11	"detect"	vn.role:Experiencer	"agdistis"
11	"detect"	local:AM-MOD	"can"
11	"detect"	local:AM-MNR	"efficiently"
11	"correct"	rdfs:member	"correct uris"
11	"correct uris"	rdfs:subClassOf	"uris"
11	"detect"	vn.role:Stimulus	"correct uris"
11	"named"	rdfs:member	"named entities"
11	"input text"	rdfs:subClassOf	"text"
11	"input"	rdfs:member	"input text"
11	"named entities"	rdfs:subClassOf	"entities"
11	"set of named entities"	local:of_namedentities	"set"
11	"set of named entities"	local:set_of	"named entities"
11	"set of named entities within input text"	local:within_inputtext	"set of named entities"
11	"set of named entities within input text"	local:setofnamedentities_within	"input text"
11	"detect"	local:AM-PNC	"set of named entities within input text"
11	"given"	vn.role:object	"set"
11	"named"	vn.role:Theme	"entities"
11	"input text"	rdfs:subClassOf	"text"
11	"input"	rdfs:member	"input text"
11	"named"	vn.role:Predicate	"input text"
12	"evaluate"	vn.role:Agent	"we"
12	"entity disambiguation"	rdfs:subClassOf	"disambiguation"
12	"entity"	rdfs:member	"entity disambiguation"
12	"disambiguation frameworks"	rdfs:subClassOf	"frameworks"
12	"different"	rdfs:member	"different datasets"
12	"disambiguation"	rdfs:member	"disambiguation frameworks"
12	"different datasets"	rdfs:subClassOf	"datasets"
12	"entity disambiguation"	rdfs:member	"entity disambiguation frameworks"
12	"entity disambiguation frameworks"	rdfs:subClassOf	"frameworks"
12	"entity disambiguation frameworks"	rdfs:subClassOf	"disambiguation frameworks"
12	"eight different datasets"	rdfs:subClassOf	"different datasets"
12	"approach on eight different datasets"	local:on_eightdifferentdatasets	"approach"
12	"approach on eight different datasets"	local:approach_on	"eight different datasets"
12	"state-of-the-art named"	local:_named	"state-of-the-art"
12	"state-of-the-art named"	local:state-of-the-art_	"named"
12	"evaluate"	vn.role:Theme	"approach on eight different datasets"
12	"approach"	vn.role:object	"we"
12	"entity disambiguation"	rdfs:subClassOf	"disambiguation"
12	"entity"	rdfs:member	"entity disambiguation"
12	"disambiguation frameworks"	rdfs:subClassOf	"frameworks"
12	"different"	rdfs:member	"different datasets"
12	"disambiguation"	rdfs:member	"disambiguation frameworks"
12	"different datasets"	rdfs:subClassOf	"datasets"
12	"entity disambiguation"	rdfs:member	"entity disambiguation frameworks"
12	"entity disambiguation frameworks"	rdfs:subClassOf	"frameworks"
12	"entity disambiguation frameworks"	rdfs:subClassOf	"disambiguation frameworks"
12	"eight different datasets"	rdfs:subClassOf	"different datasets"
12	"state-of-the-art named"	local:_named	"state-of-the-art"
12	"state-of-the-art named"	local:state-of-the-art_	"named"
12	"approach"	vn.role:indirect_object	"eight different datasets"
12	"named"	vn.role:Predicate	"entity"
12	"disambiguation frameworks"	rdfs:subClassOf	"frameworks"
12	"disambiguation"	rdfs:member	"disambiguation frameworks"
12	"named"	vn.role:Theme	"disambiguation frameworks"
13	"indicate"	vn.role:Recipient	"results"
13	"state-of-the-art approach"	rdfs:subClassOf	"approach"
13	"state-of-the-art"	rdfs:member	"state-of-the-art approach"
13	"outperform to 29"	local:to_29	"outperform"
13	"outperform to 29"	local:outperform_to	"29"
13	"indicate"	vn.role:Cause	"outperform to 29"
