s7.2	"proposed"
s2.2	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"full classical firstorder predicate logic"
s2.2	"the standard methods of automated reasoning for full classical firstorder predicate logic solve owl a description logic reasoning tasks"	rdf:predicate	"solve"
s2.2	"the standard methods of automated reasoning for full classical firstorder predicate logic solve owl a description logic reasoning tasks"	rdf:object	"OWL a Description Logic reasoning tasks"
s2.2	"owl a description logic reasoning tasks"	rdfs:member	"description logic"
s2.2	"owl a description logic reasoning tasks"	rdfs:member	"tasks"
s2.2	"description logic"	rdfs:subClassOf	"logic"
s2.2	"description logic"	rdfs:member	"description"
s2.2	"reasoning tasks"	rdfs:subClassOf	"tasks"
s2.2	"logic reasoning tasks"	rdfs:subClassOf	"reasoning tasks"
s2.2	"description logic reasoning tasks"	rdfs:subClassOf	"logic reasoning tasks"
s2.1	"the standard methods of automated reasoning for full classical firstorder predicate logic can potentially be used a description logic reasoners to solve owl a description logic reasoning tasks"
s2.1	"the standard methods of automated reasoning for full classical firstorder predicate logic can potentially be used a description logic reasoners to solve owl a description logic reasoning tasks"	rdf:subject	"standard methods of automated reasoning for full classical firstorder predicate logic can potentially be used a Description Logic"
s2.1	"standard methods of automated reasoning for full classical firstorder predicate logic can potentially be used a description logic"	rdfs:member	"description logic"
s2.1	"standard methods of automated reasoning for full classical firstorder predicate logic can potentially be used a description logic"	rdfs:member	"full classical firstorder predicate logic"
s2.1	"standard methods of automated reasoning for full classical firstorder predicate logic can potentially be used a description logic"	rdfs:member	"standard methods"
s2.1	"classical firstorder"	rdfs:member	"classical"
s2.1	"description logic"	rdfs:subClassOf	"logic"
s2.1	"full classical firstorder predicate logic"	rdfs:subClassOf	"logic"
s2.1	"firstorder predicate logic"	rdfs:member	"firstorder predicate"
s2.1	"classical firstorder predicate logic"	rdfs:subClassOf	"logic"
s2.1	"classical firstorder predicate"	rdfs:member	"classical firstorder"
s2.1	"full classical firstorder predicate"	rdfs:subClassOf	"predicate"
s2.1	"full classical firstorder"	rdfs:member	"full classical"
s2.1	"full classical"	rdfs:subClassOf	"classical"
s2.1	"classical firstorder predicate"	rdfs:subClassOf	"predicate"
s2.1	"full classical firstorder predicate logic"	rdfs:member	"full classical firstorder predicate"
s2.1	"classical firstorder"	rdfs:subClassOf	"firstorder"
s2.1	"description logic"	rdfs:member	"description"
s2.1	"full classical firstorder predicate"	rdfs:member	"full classical firstorder"
s2.1	"firstorder predicate"	rdfs:subClassOf	"predicate"
