11	"distinguish between interactions interactions"	local:between_interactionsinteractions	"distinguish"
11	"distinguish between interactions interactions"	local:distinguish_between	"interactions interactions"
11	"distinguish between interactions interactions between other"	local:between_other	"distinguish between interactions interactions"
11	"distinguish between interactions interactions between other"	local:distinguishbetweeninteractionsinteractions_between	"other"
11	"other within description service state relevant changes"	local:within_descriptionservicestaterelevantchanges	"other"
11	"other within description service state relevant changes"	local:other_within	"description service state relevant changes"
11	"relevant to interacting parties"	local:to_interactingparties	"relevant"
11	"relevant to interacting parties"	local:relevant_to	"interacting parties"
11	"describe"	vn.role:Predicate	"distinguish between interactions interactions between other"
11	"single service"	rdfs:subClassOf	"service"
11	"single"	rdfs:member	"single service"
11	"distinguish"	vn.role:Agent	"single service"
11	"service"	rdfs:member	"service state"
11	"state changes"	rdfs:subClassOf	"changes"
11	"description service"	rdfs:member	"description service state"
11	"interactions"	rdfs:member	"interactions interactions"
11	"description"	rdfs:member	"description service"
11	"description service state changes"	rdfs:subClassOf	"changes"
11	"description service"	rdfs:subClassOf	"service"
11	"description service state"	rdfs:subClassOf	"state"
11	"state"	rdfs:member	"state changes"
11	"service state"	rdfs:member	"service state changes"
11	"service state changes"	rdfs:subClassOf	"changes"
11	"description service state"	rdfs:member	"description service state changes"
11	"interactions interactions"	rdfs:subClassOf	"interactions"
11	"service state"	rdfs:subClassOf	"state"
11	"interacting parties"	rdfs:subClassOf	"parties"
11	"relevant changes"	rdfs:subClassOf	"changes"
11	"state relevant changes"	rdfs:subClassOf	"relevant changes"
11	"service state relevant changes"	rdfs:subClassOf	"state relevant changes"
11	"description service state relevant changes"	rdfs:subClassOf	"service state relevant changes"
11	"other within description service state relevant changes"	local:within_descriptionservicestaterelevantchanges	"other"
11	"other within description service state relevant changes"	local:other_within	"description service state relevant changes"
11	"relevant to interacting parties"	local:to_interactingparties	"relevant"
11	"relevant to interacting parties"	local:relevant_to	"interacting parties"
11	"distinguish"	vn.role:Patient1	"interactions interactions"
11	"single service"	rdfs:subClassOf	"service"
11	"single"	rdfs:member	"single service"
11	"capture"	vn.role:Agent	"single service"
11	"service"	rdfs:member	"service state"
11	"state changes"	rdfs:subClassOf	"changes"
11	"description service"	rdfs:member	"description service state"
11	"description"	rdfs:member	"description service"
11	"description service state changes"	rdfs:subClassOf	"changes"
11	"description service"	rdfs:subClassOf	"service"
11	"description service state"	rdfs:subClassOf	"state"
11	"state"	rdfs:member	"state changes"
11	"service state"	rdfs:member	"service state changes"
11	"service state changes"	rdfs:subClassOf	"changes"
11	"description service state"	rdfs:member	"description service state changes"
11	"service state"	rdfs:subClassOf	"state"
11	"interacting parties"	rdfs:subClassOf	"parties"
11	"relevant changes"	rdfs:subClassOf	"changes"
11	"state relevant changes"	rdfs:subClassOf	"relevant changes"
11	"service state relevant changes"	rdfs:subClassOf	"state relevant changes"
