30	"interconnecting types"	rdfs:subClassOf	"types"
30	"relevant entity type"	rdfs:subClassOf	"entity type"
30	"relevant entity type based"	local:_based	"relevant entity type"
30	"relevant entity type based"	local:relevantentitytype_	"based"
30	"based on collection statistics"	local:on_collectionstatistics	"based"
30	"based on collection statistics"	local:based_on	"collection statistics"
30	"evaluate"	vn.role:Theme	"new methods"
30	"find"	vn.role:Agent	"we"
30	"entity"	rdfs:member	"entity type"
30	"relevant entity"	rdfs:member	"relevant entity type"
30	"relevant"	rdfs:member	"relevant entity"
30	"relevant entity"	rdfs:subClassOf	"entity"
30	"collection statistics"	rdfs:subClassOf	"statistics"
30	"entity type"	rdfs:subClassOf	"type"
30	"relevant entity type"	rdfs:subClassOf	"type"
30	"collection"	rdfs:member	"collection statistics"
30	"interconnecting types"	rdfs:subClassOf	"types"
30	"relevant entity type"	rdfs:subClassOf	"entity type"
30	"relevant entity type based"	local:_based	"relevant entity type"
30	"relevant entity type based"	local:relevantentitytype_	"based"
30	"based on collection statistics"	local:on_collectionstatistics	"based"
30	"based on collection statistics"	local:based_on	"collection statistics"
30	"find"	vn.role:Theme	"relevant entity type based"
30	"entity"	rdfs:member	"entity type"
30	"relevant entity"	rdfs:member	"relevant entity type"
30	"relevant"	rdfs:member	"relevant entity"
30	"relevant entity"	rdfs:subClassOf	"entity"
30	"entity type"	rdfs:subClassOf	"type"
30	"relevant entity type"	rdfs:subClassOf	"type"
30	"relevant entity type"	rdfs:subClassOf	"entity type"
30	"based"	vn.role:Cause	"relevant entity type"
30	"collection"	rdfs:member	"collection statistics"
30	"collection statistics"	rdfs:subClassOf	"statistics"
30	"based"	local:AM-LOC	"collection statistics"
30	"collection"	rdfs:member	"collection statistics"
30	"collection statistics"	rdfs:subClassOf	"statistics"
30	"interconnecting"	vn.role:Patient1	"collection statistics"
30	"interconnecting"	vn.role:Patient2	"types"
31	"propose"	vn.role:Agent	"we"
31	"entity"	rdfs:member	"entity type"
31	"new"	rdfs:member	"new methods"
31	"most"	rdfs:member	"most relevant"
31	"new methods"	rdfs:subClassOf	"methods"
31	"most relevant entity type"	rdfs:subClassOf	"type"
31	"relevant entity"	rdfs:member	"relevant entity type"
31	"most relevant entity"	rdfs:subClassOf	"entity"
31	"most relevant"	rdfs:subClassOf	"relevant"
31	"relevant"	rdfs:member	"relevant entity"
31	"relevant entity"	rdfs:subClassOf	"entity"
31	"most relevant"	rdfs:member	"most relevant entity"
31	"collection statistics"	rdfs:subClassOf	"statistics"
31	"entity type"	rdfs:subClassOf	"type"
31	"relevant entity type"	rdfs:subClassOf	"type"
31	"most relevant entity"	rdfs:member	"most relevant entity type"
31	"collection"	rdfs:member	"collection statistics"
31	"interconnecting types"	rdfs:subClassOf	"types"
31	"relevant entity type"	rdfs:subClassOf	"entity type"
31	"relevant entity type based"	local:_based	"relevant entity type"
