0	"used"	local:AM-MNR	"widely"
2	"vector often spaces"	rdfs:subClassOf	"often spaces"
2	"vector vector often spaces"	rdfs:subClassOf	"vector often spaces"
2	"represented"	vn.role:Theme	"vector vector often spaces"
2	"capture support"	rdfs:subClassOf	"support"
2	"capture"	rdfs:member	"capture support"
2	"graphs"	rdfs:member	"graphs embeddings-"
2	"graphs embeddings- embeddings-"	rdfs:member	"graphs embeddings- embeddings- ability"
2	"ability"	rdfs:member	"ability ability"
2	"capture support support"	rdfs:subClassOf	"support"
2	"graphs embeddings- embeddings-"	rdfs:subClassOf	"embeddings-"
2	"embeddings- ability"	rdfs:member	"embeddings- ability ability"
2	"knowledge"	rdfs:member	"knowledge graphs"
2	"knowledge knowledge graphs"	rdfs:subClassOf	"graphs"
2	"embeddings- embeddings- ability ability"	rdfs:subClassOf	"ability"
2	"graphs embeddings-"	rdfs:member	"graphs embeddings- embeddings-"
2	"knowledge"	rdfs:member	"knowledge knowledge"
2	"embeddings- embeddings-"	rdfs:subClassOf	"embeddings-"
2	"graphs embeddings- embeddings- ability"	rdfs:member	"graphs embeddings- embeddings- ability ability"
2	"embeddings- embeddings- ability"	rdfs:member	"embeddings- embeddings- ability ability"
2	"embeddings- embeddings-"	rdfs:member	"embeddings- embeddings- ability"
2	"ability ability"	rdfs:subClassOf	"ability"
2	"embeddings-"	rdfs:member	"embeddings- embeddings-"
2	"capture support"	rdfs:member	"capture support support"
2	"embeddings- ability"	rdfs:subClassOf	"ability"
2	"embeddings-"	rdfs:member	"embeddings- ability"
2	"knowledge graphs"	rdfs:subClassOf	"graphs"
2	"graphs embeddings-"	rdfs:subClassOf	"embeddings-"
2	"embeddings- ability ability"	rdfs:subClassOf	"ability"
2	"graphs embeddings- embeddings- ability"	rdfs:subClassOf	"ability"
2	"graphs embeddings- embeddings- ability ability"	rdfs:subClassOf	"ability"
2	"knowledge knowledge"	rdfs:member	"knowledge knowledge graphs"
2	"support"	rdfs:member	"support support"
2	"support support"	rdfs:subClassOf	"support"
2	"embeddings- embeddings- ability"	rdfs:subClassOf	"ability"
2	"knowledge knowledge"	rdfs:subClassOf	"knowledge"
2	"reasoning tasks"	rdfs:subClassOf	"tasks"
2	"reasoning reasoning tasks"	rdfs:subClassOf	"reasoning tasks"
2	"other reasoning reasoning tasks"	rdfs:subClassOf	"reasoning reasoning tasks"
2	"other other reasoning reasoning tasks"	rdfs:subClassOf	"other reasoning reasoning tasks"
2	"capture support support"	rdfs:subClassOf	"support support"
2	"graphs embeddings"	rdfs:subClassOf	"embeddings"
2	"graphs graphs embeddings"	rdfs:subClassOf	"graphs embeddings"
2	"knowledge graphs graphs embeddings"	rdfs:subClassOf	"graphs graphs embeddings"
2	"knowledge knowledge graphs graphs embeddings"	rdfs:subClassOf	"knowledge graphs graphs embeddings"
2	"as knowledge knowledge graphs graphs embeddings"	rdfs:subClassOf	"knowledge knowledge graphs graphs embeddings"
2	"to referred"	rdfs:subClassOf	"referred"
2	"often to referred"	rdfs:subClassOf	"to referred"
2	"to referred as as knowledge knowledge graphs graphs embeddings"	local:as_asknowledgeknowledgegraphsgraphsembeddings	"to referred"
2	"to referred as as knowledge knowledge graphs graphs embeddings"	local:toreferred_as	"as knowledge knowledge graphs graphs embeddings"
2	"represented"	local:AM-TMP	"tasks"
2	"represented"	local:AM-TMP	"often to referred"
2	"referred"	vn.role:Agent	"approaches"
2	"vector spaces-"	rdfs:subClassOf	"spaces-"
2	"graph"	rdfs:member	"graph graph"
2	"graph graph"	rdfs:subClassOf	"graph"
2	"vector"	rdfs:member	"vector spaces-"
2	"vector spaces"	rdfs:subClassOf	"spaces"
2	"represented in graph graph"	local:in_graphgraph	"represented"
2	"represented in graph graph"	local:represented_in	"graph graph"
2	"graph graph into vector spaces"	local:into_vectorspaces	"graph graph"
2	"graph graph into vector spaces"	local:graphgraph_into	"vector spaces"
2	"referred"	vn.role:Agent	"approaches"
2	"referred"	local:AM-TMP	"often"
2	"graphs"	rdfs:member	"graphs embeddings-"
2	"knowledge graphs"	rdfs:subClassOf	"graphs"
2	"graphs embeddings-"	rdfs:subClassOf	"embeddings-"
2	"knowledge graphs"	rdfs:member	"knowledge graphs embeddings-"
2	"knowledge"	rdfs:member	"knowledge graphs"
2	"knowledge graphs embeddings-"	rdfs:subClassOf	"embeddings-"
2	"increasingly popular"	rdfs:subClassOf	"popular"
2	"have become"	rdfs:subClassOf	"become"
2	"graphs embeddings"	rdfs:subClassOf	"embeddings"
2	"knowledge graphs embeddings"	rdfs:subClassOf	"graphs embeddings"
2	"increasingly popular for entities"	local:for_entities	"increasingly popular"
2	"increasingly popular for entities"	local:increasinglypopular_for	"entities"
2	"represented in graph"	local:in_graph	"represented"
2	"represented in graph"	local:represented_in	"graph"
2	"represented in graph into vector"	local:into_vector	"represented in graph"
2	"represented in graph into vector"	local:representedingraph_into	"vector"
2	"referred"	vn.role:Theme	"have become"
2	"often spaces"	rdfs:subClassOf	"spaces"
2	"vector often spaces"	rdfs:subClassOf	"often spaces"
2	"referred"	vn.role:Theme	"vector often spaces"
2	"to referred"	rdfs:subClassOf	"referred"
2	"often to referred"	rdfs:subClassOf	"to referred"
2	"referred"	vn.role:Theme	"often to referred"
2	"knowledge"	rdfs:member	"knowledge knowledge"
2	"knowledge knowledge"	rdfs:subClassOf	"knowledge"
2	"knowledge knowledge"	rdfs:member	"knowledge knowledge graphs"
2	"knowledge graphs"	rdfs:subClassOf	"graphs"
2	"knowledge"	rdfs:member	"knowledge graphs"
2	"knowledge knowledge graphs"	rdfs:subClassOf	"graphs"
2	"graphs embeddings"	rdfs:subClassOf	"embeddings"
2	"graphs graphs embeddings"	rdfs:subClassOf	"graphs embeddings"
2	"knowledge graphs graphs embeddings"	rdfs:subClassOf	"graphs graphs embeddings"
2	"knowledge knowledge graphs graphs embeddings"	rdfs:subClassOf	"knowledge graphs graphs embeddings"
2	"referred"	vn.role:Theme	"knowledge knowledge graphs graphs embeddings"
2	"capture support"	rdfs:subClassOf	"support"
2	"embeddings- ability"	rdfs:subClassOf	"ability"
2	"capture"	rdfs:member	"capture support"
2	"embeddings-"	rdfs:member	"embeddings- ability"
2	"ability"	rdfs:member	"ability ability"
2	"support"	rdfs:member	"support support"
