00.7	"existing ontologies"	rdfs:subClassOf	"ontologies"
00.7	"existing ontologies in relevance terms"	local:in_relevanceterms	"existing ontologies"
00.7	"existing ontologies in relevance terms"	local:existingontologies_in	"relevance terms"
00.7	"a search engines relevance to needs"	local:to_needs	"a search engines relevance"
00.7	"a search engines relevance to needs"	local:asearchenginesrelevance_to	"needs"
00.7	"needs of knowledge engineer"	local:of_knowledgeengineer	"needs"
00.7	"needs of knowledge engineer"	local:needs_of	"knowledge engineer"
00.7	"rank"	vn.role:Theme	"existing ontologies in relevance terms"
00.7	"existing"	vn.role:Location	"ontologies"
00.8	"existing ontologies"	rdfs:subClassOf	"ontologies"
00.8	"evaluate"	vn.role:Theme	"existing ontologies"
00.8	"libraries"	rdfs:member	"libraries relevance"
00.8	"ontology libraries relevance"	rdfs:subClassOf	"relevance"
00.8	"ontology"	rdfs:member	"ontology libraries"
00.8	"knowledge engineer"	rdfs:subClassOf	"engineer"
00.8	"ontology libraries"	rdfs:subClassOf	"libraries"
00.8	"libraries relevance"	rdfs:subClassOf	"relevance"
00.8	"knowledge"	rdfs:member	"knowledge engineer"
00.8	"ontology libraries"	rdfs:member	"ontology libraries relevance"
00.8	"relevance libraries"	rdfs:subClassOf	"libraries"
00.8	"relevance libraries terms"	rdfs:subClassOf	"terms"
00.8	"ontology relevance libraries"	rdfs:subClassOf	"relevance libraries"
00.8	"a ontology relevance libraries"	rdfs:subClassOf	"ontology relevance libraries"
00.8	"relevance to needs"	local:to_needs	"relevance"
00.8	"relevance to needs"	local:relevance_to	"needs"
00.8	"needs of knowledge engineer"	local:of_knowledgeengineer	"needs"
00.8	"needs of knowledge engineer"	local:needs_of	"knowledge engineer"
00.8	"evaluate"	local:AM-MNR	"relevance libraries terms"
00.8	"libraries"	rdfs:member	"libraries relevance"
00.8	"ontology libraries relevance"	rdfs:subClassOf	"relevance"
00.8	"ontology"	rdfs:member	"ontology libraries"
00.8	"knowledge engineer"	rdfs:subClassOf	"engineer"
00.8	"ontology libraries"	rdfs:subClassOf	"libraries"
00.8	"libraries relevance"	rdfs:subClassOf	"relevance"
00.8	"knowledge"	rdfs:member	"knowledge engineer"
00.8	"ontology libraries"	rdfs:member	"ontology libraries relevance"
00.8	"relevance libraries"	rdfs:subClassOf	"libraries"
00.8	"relevance libraries terms"	rdfs:subClassOf	"terms"
00.8	"ontology relevance libraries"	rdfs:subClassOf	"relevance libraries"
00.8	"a ontology relevance libraries"	rdfs:subClassOf	"ontology relevance libraries"
00.8	"existing ontologies"	rdfs:subClassOf	"ontologies"
00.8	"existing ontologies in relevance libraries terms"	local:in_relevancelibrariesterms	"existing ontologies"
00.8	"existing ontologies in relevance libraries terms"	local:existingontologies_in	"relevance libraries terms"
00.8	"relevance to needs"	local:to_needs	"relevance"
00.8	"relevance to needs"	local:relevance_to	"needs"
00.8	"needs of knowledge engineer"	local:of_knowledgeengineer	"needs"
00.8	"needs of knowledge engineer"	local:needs_of	"knowledge engineer"
00.8	"rank"	vn.role:Theme	"existing ontologies in relevance libraries terms"
00.8	"existing"	vn.role:Location	"ontologies"
00.9	"existing ontologies"	rdfs:subClassOf	"ontologies"
00.9	"evaluate"	vn.role:Theme	"existing ontologies"
00.9	"search engines"	rdfs:subClassOf	"engines"
00.9	"search"	rdfs:member	"search engines"
00.9	"engines terms"	rdfs:subClassOf	"terms"
00.9	"a search engines"	rdfs:subClassOf	"search engines"
00.9	"evaluate"	local:AM-MNR	"engines terms"
00.9	"knowledge engineer"	rdfs:subClassOf	"engineer"
00.9	"knowledge"	rdfs:member	"knowledge engineer"
00.9	"relevance to needs"	local:to_needs	"relevance"
00.9	"relevance to needs"	local:relevance_to	"needs"
00.9	"needs of knowledge engineer"	local:of_knowledgeengineer	"needs"
00.9	"needs of knowledge engineer"	local:needs_of	"knowledge engineer"
00.9	"evaluate"	vn.role:Theme	"relevance to needs"
00.9	"engines relevance"	rdfs:subClassOf	"relevance"
00.9	"knowledge engineer"	rdfs:subClassOf	"engineer"
00.9	"search engines"	rdfs:subClassOf	"engines"
00.9	"engines"	rdfs:member	"engines relevance"
00.9	"search engines"	rdfs:member	"search engines relevance"
00.9	"knowledge"	rdfs:member	"knowledge engineer"
00.9	"search"	rdfs:member	"search engines"
00.9	"search engines relevance"	rdfs:subClassOf	"relevance"
00.9	"relevance terms"	rdfs:subClassOf	"terms"
00.9	"search engines relevance"	rdfs:subClassOf	"engines relevance"
00.9	"a search engines relevance"	rdfs:subClassOf	"search engines relevance"
00.9	"existing ontologies"	rdfs:subClassOf	"ontologies"
00.9	"existing ontologies in relevance terms"	local:in_relevanceterms	"existing ontologies"
00.9	"existing ontologies in relevance terms"	local:existingontologies_in	"relevance terms"
00.9	"a search engines relevance to needs"	local:to_needs	"a search engines relevance"
00.9	"a search engines relevance to needs"	local:asearchenginesrelevance_to	"needs"
00.9	"needs of knowledge engineer"	local:of_knowledgeengineer	"needs"
00.9	"needs of knowledge engineer"	local:needs_of	"knowledge engineer"
00.9	"rank"	vn.role:Theme	"existing ontologies in relevance terms"
00.9	"existing"	vn.role:Location	"ontologies"
00.11	"ranking ontologies"	rdfs:subClassOf	"ontologies"
00.11	"based"	vn.role:Cause	"ranking ontologies"
00.11	"structural metrics"	rdfs:subClassOf	"metrics"
00.11	"structural"	rdfs:member	"structural metrics"
00.11	"number of structural metrics"	local:of_structuralmetrics	"number"
00.11	"number of structural metrics"	local:number_of	"structural metrics"
00.11	"based"	vn.role:indirect_object	"number of structural metrics"
00.12	"presents"	vn.role:Agent	"paper"
00.12	"presents"	vn.role:Theme	"aktiverank"
00.13	"presents"	vn.role:Agent	"paper"
00.13	"prototype"	rdfs:member	"prototype system"
00.13	"prototype system"	rdfs:subClassOf	"system"
00.13	"ranking ontologies"	rdfs:subClassOf	"ontologies"
00.13	"prototype system for ranking ontologies"	local:for_rankingontologies	"prototype system"
00.13	"prototype system for ranking ontologies"	local:prototypesystem_for	"ranking ontologies"
00.13	"presents"	vn.role:Theme	"prototype system for ranking ontologies"
01.0	"ontology alignment"	rdfs:subClassOf	"alignment"
01.0	"ontology"	rdfs:member	"ontology alignment"
01.0	"describes"	vn.role:Agent	"ontology alignment"
01.0	"describes"	local:AM-MNR	"explicitly"
01.0	"describes"	vn.role:Theme	"relations"
01.1	"holding"	vn.role:Theme	"relations"
01.1	"two ontologies"	rdfs:subClassOf	"ontologies"
01.1	"holding"	local:AM-MNR	"two ontologies"
01.2	"composed"	vn.role:Product	"system"
01.2	"composed"	vn.role:Material	"ontologies"
01.2	"composed"	vn.role:Product	"interconnecting"
01.2	"system composed"	local:_composed	"system"
01.2	"system composed"	local:system_	"composed"
01.2	"composed of ontologies"	local:of_ontologies	"composed"
01.2	"composed of ontologies"	local:composed_of	"ontologies"
01.2	"interconnecting"	vn.role:Patient1	"system composed"
01.2	"interconnecting"	vn.role:Patient2	"them"
01.3	"called"	vn.role:Cause	"system"
01.3	"called"	local:AM-MNR	"herein"
01.3	"distributed system"	rdfs:subClassOf	"system"
01.3	"distributed"	rdfs:member	"distributed system"
01.3	"called"	vn.role:Theme	"distributed system"
01.3	"distributed"	vn.role:Theme	"system"
