17	"effectively evaluated over web"	local:effectivelyevaluated_over	"web"
17	"web of linked data"	local:of_linkeddata	"web"
17	"web of linked data"	local:web_of	"linked data"
17	"have"	vn.role:Stimulus	"procedure"
17	"issue queries"	rdfs:subClassOf	"queries"
17	"issue"	rdfs:member	"issue queries"
17	"formally study"	rdfs:subClassOf	"study"
17	"evaluated"	vn.role:Agent	"formally study"
17	"evaluated"	vn.role:Theme	"procedure"
17	"evaluated"	local:AM-MNR	"effectively"
17	"linked data"	rdfs:subClassOf	"data"
17	"web of linked data"	local:of_linkeddata	"web"
17	"web of linked data"	local:web_of	"linked data"
17	"evaluated"	local:AM-LOC	"web of linked data"
