15	"high query recall"	rdfs:member	"high query recall values"
15	"high"	rdfs:member	"high query"
15	"query recall"	rdfs:member	"query recall values"
15	"recall values"	rdfs:subClassOf	"values"
15	"query"	rdfs:member	"query recall"
15	"query recall values"	rdfs:subClassOf	"values"
15	"high query"	rdfs:subClassOf	"query"
15	"high query recall"	rdfs:subClassOf	"recall"
15	"query recall values"	rdfs:subClassOf	"recall values"
15	"high query recall values"	rdfs:subClassOf	"query recall values"
15	"reduce"	local:AM-TMP	"keeping"
15	"keeping"	vn.role:Agent	"daw"
15	"query recall"	rdfs:subClassOf	"recall"
15	"high query"	rdfs:member	"high query recall"
15	"recall"	rdfs:member	"recall values"
15	"high query recall values"	rdfs:subClassOf	"values"
15	"high query recall"	rdfs:member	"high query recall values"
15	"high"	rdfs:member	"high query"
15	"query recall"	rdfs:member	"query recall values"
15	"recall values"	rdfs:subClassOf	"values"
15	"query"	rdfs:member	"query recall"
15	"query recall values"	rdfs:subClassOf	"values"
15	"high query"	rdfs:subClassOf	"query"
15	"high query recall"	rdfs:subClassOf	"recall"
15	"query recall values"	rdfs:subClassOf	"recall values"
15	"high query recall values"	rdfs:subClassOf	"query recall values"
15	"keeping"	vn.role:Theme	"high query recall values"
16	"shows"	vn.role:Agent	"comparison"
16	"duplicate-aware"	rdfs:member	"duplicate-aware approach"
16	"query recall"	rdfs:subClassOf	"recall"
16	"novel"	rdfs:member	"novel duplicate-aware"
16	"recall"	rdfs:member	"recall values"
16	"novel duplicate-aware approach"	rdfs:subClassOf	"approach"
16	"novel duplicate-aware"	rdfs:subClassOf	"duplicate-aware"
16	"novel duplicate-aware"	rdfs:member	"novel duplicate-aware approach"
16	"high query"	rdfs:member	"high query recall"
16	"high query recall values"	rdfs:subClassOf	"values"
16	"high query recall"	rdfs:member	"high query recall values"
16	"duplicate-aware approach"	rdfs:subClassOf	"approach"
16	"high"	rdfs:member	"high query"
16	"query recall"	rdfs:member	"query recall values"
16	"recall values"	rdfs:subClassOf	"values"
16	"query"	rdfs:member	"query recall"
16	"query recall values"	rdfs:subClassOf	"values"
16	"high query"	rdfs:subClassOf	"query"
16	"high query recall"	rdfs:subClassOf	"recall"
16	"query recall values"	rdfs:subClassOf	"recall values"
16	"high query recall values"	rdfs:subClassOf	"query recall values"
16	"greatly reduce"	rdfs:subClassOf	"reduce"
16	"can greatly reduce"	rdfs:subClassOf	"greatly reduce"
16	"federated querying"	rdfs:subClassOf	"querying"
16	"novel duplicate-aware approach"	rdfs:subClassOf	"duplicate-aware approach"
16	"novel duplicate-aware approach to federated querying"	local:to_federatedquerying	"novel duplicate-aware approach"
16	"novel duplicate-aware approach to federated querying"	local:novelduplicate-awareapproach_to	"federated querying"
16	"federated querying over web"	local:over_web	"federated querying"
16	"federated querying over web"	local:federatedquerying_over	"web"
16	"web of data"	local:of_data	"web"
16	"web of data"	local:web_of	"data"
16	"number of queries"	local:of_queries	"number"
16	"number of queries"	local:number_of	"queries"
16	"shows"	vn.role:Theme	"can greatly reduce"
16	"querying"	vn.role:Agent	"federated"
16	"web of data"	local:of_data	"web"
16	"web of data"	local:web_of	"data"
16	"querying"	vn.role:Theme	"web of data"
16	"duplicate-aware"	rdfs:member	"duplicate-aware approach"
16	"novel"	rdfs:member	"novel duplicate-aware"
16	"novel duplicate-aware approach"	rdfs:subClassOf	"approach"
16	"novel duplicate-aware"	rdfs:subClassOf	"duplicate-aware"
16	"novel duplicate-aware"	rdfs:member	"novel duplicate-aware approach"
16	"duplicate-aware approach"	rdfs:subClassOf	"approach"
16	"federated querying"	rdfs:subClassOf	"querying"
16	"novel duplicate-aware approach"	rdfs:subClassOf	"duplicate-aware approach"
16	"novel duplicate-aware approach to federated querying"	local:to_federatedquerying	"novel duplicate-aware approach"
16	"novel duplicate-aware approach to federated querying"	local:novelduplicate-awareapproach_to	"federated querying"
16	"federated querying over web"	local:over_web	"federated querying"
16	"federated querying over web"	local:federatedquerying_over	"web"
16	"web of data"	local:of_data	"web"
16	"web of data"	local:web_of	"data"
16	"reduce"	vn.role:Cause	"novel duplicate-aware approach to federated querying"
16	"reduce"	local:AM-MOD	"can"
16	"reduce"	local:AM-MNR	"greatly"
16	"number of queries"	local:of_queries	"number"
16	"number of queries"	local:number_of	"queries"
16	"reduce"	vn.role:Patient	"number of queries"
16	"query recall"	rdfs:subClassOf	"recall"
16	"high query"	rdfs:member	"high query recall"
16	"recall"	rdfs:member	"recall values"
16	"high query recall values"	rdfs:subClassOf	"values"
16	"high query recall"	rdfs:member	"high query recall values"
16	"high"	rdfs:member	"high query"
16	"query recall"	rdfs:member	"query recall values"
16	"recall values"	rdfs:subClassOf	"values"
16	"query"	rdfs:member	"query recall"
16	"query recall values"	rdfs:subClassOf	"values"
16	"high query"	rdfs:subClassOf	"query"
16	"high query recall"	rdfs:subClassOf	"recall"
16	"query recall values"	rdfs:subClassOf	"recall values"
16	"high query recall values"	rdfs:subClassOf	"query recall values"
16	"reduce"	local:AM-TMP	"keeping"
16	"web of data"	local:of_data	"web"
16	"web of data"	local:web_of	"data"
16	"keeping"	vn.role:Agent	"web of data"
16	"query recall"	rdfs:subClassOf	"recall"
16	"high query"	rdfs:member	"high query recall"
16	"recall"	rdfs:member	"recall values"
16	"high query recall values"	rdfs:subClassOf	"values"
16	"high query recall"	rdfs:member	"high query recall values"
16	"high"	rdfs:member	"high query"
16	"query recall"	rdfs:member	"query recall values"
16	"recall values"	rdfs:subClassOf	"values"
16	"query"	rdfs:member	"query recall"
16	"query recall values"	rdfs:subClassOf	"values"
16	"high query"	rdfs:subClassOf	"query"
16	"high query recall"	rdfs:subClassOf	"recall"
16	"query recall values"	rdfs:subClassOf	"recall values"
16	"high query recall values"	rdfs:subClassOf	"query recall values"
16	"keeping"	vn.role:Theme	"high query recall values"
17	"improve"	vn.role:Agent	"therefore"
17	"improve"	local:AM-MOD	"can"
17	"improve"	local:AM-MNR	"significantly"
17	"query processing"	rdfs:member	"query processing engines"
17	"query"	rdfs:member	"query processing"
17	"query processing"	rdfs:subClassOf	"processing"
17	"federated"	rdfs:member	"federated query"
17	"federated query"	rdfs:subClassOf	"query"
17	"federated query processing"	rdfs:subClassOf	"processing"
17	"processing"	rdfs:member	"processing engines"
17	"processing engines"	rdfs:subClassOf	"engines"
17	"query processing engines"	rdfs:subClassOf	"engines"
17	"federated query processing"	rdfs:member	"federated query processing engines"
17	"federated query processing engines"	rdfs:subClassOf	"engines"
17	"federated query"	rdfs:member	"federated query processing"
17	"query processing engines"	rdfs:subClassOf	"processing engines"
17	"federated query processing engines"	rdfs:subClassOf	"query processing engines"
17	"performance of federated query processing engines"	local:of_federatedqueryprocessingengines	"performance"
17	"performance of federated query processing engines"	local:performance_of	"federated query processing engines"
