9	"evaluate"	vn.role:Agent	"we"
9	"very high precision"	rdfs:subClassOf	"precision"
9	"high precision"	rdfs:subClassOf	"precision"
9	"current state-of-the-art"	rdfs:subClassOf	"state-of-the-art"
9	"current state-of-the-art method"	rdfs:subClassOf	"method"
9	"relationship duplicates"	rdfs:subClassOf	"duplicates"
9	"state-of-the-art method"	rdfs:subClassOf	"method"
9	"very high"	rdfs:subClassOf	"high"
9	"current state-of-the-art method"	rdfs:subClassOf	"state-of-the-art method"
9	"existing relationship"	rdfs:subClassOf	"relationship"
9	"hundreds existing relationship"	rdfs:subClassOf	"existing relationship"
9	"technique on freebase"	local:on_freebase	"technique"
9	"technique on freebase"	local:technique_on	"freebase"
9	"duplicates with high precision"	local:with_highprecision	"duplicates"
9	"duplicates with high precision"	local:duplicates_with	"high precision"
9	"evaluate"	vn.role:Theme	"technique on freebase"
9	"technique"	vn.role:Agent	"we"
9	"very high precision"	rdfs:subClassOf	"precision"
9	"high precision"	rdfs:subClassOf	"precision"
9	"current state-of-the-art"	rdfs:subClassOf	"state-of-the-art"
9	"current state-of-the-art method"	rdfs:subClassOf	"method"
9	"relationship duplicates"	rdfs:subClassOf	"duplicates"
9	"state-of-the-art method"	rdfs:subClassOf	"method"
9	"very high"	rdfs:subClassOf	"high"
9	"current state-of-the-art method"	rdfs:subClassOf	"state-of-the-art method"
9	"existing relationship"	rdfs:subClassOf	"relationship"
9	"hundreds existing relationship"	rdfs:subClassOf	"existing relationship"
9	"duplicates with high precision"	local:with_highprecision	"duplicates"
9	"duplicates with high precision"	local:duplicates_with	"high precision"
9	"technique"	vn.role:Recipient	"freebase"
9	"identify"	vn.role:Agent	"we"
9	"very high precision"	rdfs:subClassOf	"precision"
9	"high precision"	rdfs:subClassOf	"precision"
9	"current state-of-the-art"	rdfs:subClassOf	"state-of-the-art"
9	"current state-of-the-art method"	rdfs:subClassOf	"method"
9	"relationship duplicates"	rdfs:subClassOf	"duplicates"
9	"state-of-the-art method"	rdfs:subClassOf	"method"
9	"very high"	rdfs:subClassOf	"high"
9	"current state-of-the-art method"	rdfs:subClassOf	"state-of-the-art method"
9	"existing relationship"	rdfs:subClassOf	"relationship"
9	"hundreds existing relationship"	rdfs:subClassOf	"existing relationship"
9	"duplicates with high precision"	local:with_highprecision	"duplicates"
9	"duplicates with high precision"	local:duplicates_with	"high precision"
9	"identify"	vn.role:Theme	"duplicates with high precision"
9	"existing"	vn.role:Location	"relationship"
9	"high precision"	rdfs:subClassOf	"precision"
9	"very high precision"	rdfs:subClassOf	"precision"
9	"very high"	rdfs:subClassOf	"high"
9	"relationship duplicates"	rdfs:subClassOf	"duplicates"
9	"existing relationship"	rdfs:subClassOf	"relationship"
9	"hundreds existing relationship"	rdfs:subClassOf	"existing relationship"
9	"duplicates with high precision"	local:with_highprecision	"duplicates"
9	"duplicates with high precision"	local:duplicates_with	"high precision"
9	"outperforming"	vn.role:Theme1	"duplicates with high precision"
9	"current state-of-the-art method"	rdfs:subClassOf	"method"
9	"state-of-the-art method"	rdfs:subClassOf	"method"
9	"current state-of-the-art"	rdfs:subClassOf	"state-of-the-art"
9	"current state-of-the-art method"	rdfs:subClassOf	"state-of-the-art method"
9	"outperforming"	vn.role:Theme2	"current state-of-the-art method"
