10	"-rrb-"	rdfs:member	"-rrb- subsets"
10	"-rrb- subsets"	rdfs:subClassOf	"subsets"
10	"hot"	rdfs:member	"hot spots"
10	"hot spots"	rdfs:subClassOf	"spots"
10	"designate"	vn.role:Theme	"-rrb- subsets"
11	"given"	vn.role:object	"reasoner"
11	"reason"	vn.role:Theme1	"reasoner"
11	"-rrb- subsets"	rdfs:subClassOf	"subsets"
11	"hot spots"	rdfs:subClassOf	"spots"
11	"such"	rdfs:member	"such -rrb-"
11	"such -rrb-"	rdfs:member	"such -rrb- subsets"
11	"hot"	rdfs:member	"hot spots"
11	"-rrb-"	rdfs:member	"-rrb- subsets"
11	"such -rrb-"	rdfs:subClassOf	"-rrb-"
11	"such -rrb- subsets"	rdfs:subClassOf	"subsets"
11	"such -rrb- subsets"	rdfs:subClassOf	"-rrb- subsets"
11	"reason"	vn.role:Theme2	"designate"
11	"designate"	vn.role:Agent	"we"
11	"-rrb-"	rdfs:member	"-rrb- subsets"
11	"-rrb- subsets"	rdfs:subClassOf	"subsets"
11	"hot"	rdfs:member	"hot spots"
11	"hot spots"	rdfs:subClassOf	"spots"
11	"designate"	vn.role:Theme	"-rrb- subsets"
12	"given"	vn.role:object	"reasoner"
12	"reason"	vn.role:Theme1	"reasoner"
12	"ideally small"	rdfs:subClassOf	"small"
12	"small -rrb-"	rdfs:member	"small -rrb- subsets"
12	"small -rrb-"	rdfs:subClassOf	"-rrb-"
12	"hot spots"	rdfs:subClassOf	"spots"
12	"-rrb- subsets"	rdfs:subClassOf	"subsets"
12	"ideally small"	rdfs:member	"ideally small -rrb-"
12	"ideally small -rrb- subsets"	rdfs:subClassOf	"subsets"
12	"small"	rdfs:member	"small -rrb-"
12	"hot"	rdfs:member	"hot spots"
12	"ideally small -rrb-"	rdfs:subClassOf	"-rrb-"
12	"-rrb-"	rdfs:member	"-rrb- subsets"
12	"small -rrb- subsets"	rdfs:subClassOf	"subsets"
12	"ideally"	rdfs:member	"ideally small"
12	"ideally small -rrb-"	rdfs:member	"ideally small -rrb- subsets"
12	"small -rrb- subsets"	rdfs:subClassOf	"-rrb- subsets"
12	"ideally small -rrb- subsets"	rdfs:subClassOf	"small -rrb- subsets"
12	"reason"	vn.role:Theme2	"designate"
12	"designate"	vn.role:Agent	"we"
12	"designate"	local:AM-MNR	"ideally"
12	"small -rrb-"	rdfs:member	"small -rrb- subsets"
12	"small -rrb-"	rdfs:subClassOf	"-rrb-"
12	"-rrb- subsets"	rdfs:subClassOf	"subsets"
12	"hot spots"	rdfs:subClassOf	"spots"
12	"small"	rdfs:member	"small -rrb-"
12	"hot"	rdfs:member	"hot spots"
12	"-rrb-"	rdfs:member	"-rrb- subsets"
12	"small -rrb- subsets"	rdfs:subClassOf	"subsets"
12	"small -rrb- subsets"	rdfs:subClassOf	"-rrb- subsets"
12	"designate"	vn.role:Theme	"small -rrb- subsets"
13	"hot"	rdfs:member	"hot spots"
13	"hot spots"	rdfs:subClassOf	"spots"
13	"identification of hot spots"	local:of_hotspots	"identification"
13	"identification of hot spots"	local:identification_of	"hot spots"
13	"allows"	vn.role:Agent	"identification of hot spots"
13	"difficult portions"	rdfs:subClassOf	"portions"
13	"principled"	rdfs:member	"principled way"
13	"difficult"	rdfs:member	"difficult portions"
13	"principled way"	rdfs:subClassOf	"way"
13	"difficult portions of ontology"	local:of_ontology	"difficult portions"
13	"difficult portions of ontology"	local:difficultportions_of	"ontology"
13	"isolate in principled way"	local:in_principledway	"isolate"
13	"isolate in principled way"	local:isolate_in	"principled way"
13	"allows"	vn.role:Theme	"users"
13	"isolate"	vn.role:Agent	"users"
13	"difficult portions"	rdfs:subClassOf	"portions"
13	"difficult"	rdfs:member	"difficult portions"
13	"difficult portions of ontology"	local:of_ontology	"difficult portions"
13	"difficult portions of ontology"	local:difficultportions_of	"ontology"
13	"isolate"	vn.role:Recipient	"difficult portions of ontology"
13	"principled"	rdfs:member	"principled way"
13	"principled way"	rdfs:subClassOf	"way"
13	"isolate"	local:AM-LOC	"principled way"
14	"hot"	rdfs:member	"hot spots"
14	"hot spots"	rdfs:subClassOf	"spots"
14	"identification of hot spots"	local:of_hotspots	"identification"
14	"identification of hot spots"	local:identification_of	"hot spots"
14	"allows"	vn.role:Agent	"identification of hot spots"
14	"difficult portions"	rdfs:subClassOf	"portions"
14	"systematic"	rdfs:member	"systematic way"
14	"difficult"	rdfs:member	"difficult portions"
14	"systematic way"	rdfs:subClassOf	"way"
14	"difficult portions of ontology"	local:of_ontology	"difficult portions"
14	"difficult portions of ontology"	local:difficultportions_of	"ontology"
14	"isolate in systematic way"	local:in_systematicway	"isolate"
14	"isolate in systematic way"	local:isolate_in	"systematic way"
14	"allows"	vn.role:Theme	"users"
14	"isolate"	vn.role:Agent	"users"
14	"difficult portions"	rdfs:subClassOf	"portions"
14	"difficult"	rdfs:member	"difficult portions"
14	"difficult portions of ontology"	local:of_ontology	"difficult portions"
14	"difficult portions of ontology"	local:difficultportions_of	"ontology"
14	"isolate"	vn.role:Recipient	"difficult portions of ontology"
14	"systematic"	rdfs:member	"systematic way"
14	"systematic way"	rdfs:subClassOf	"way"
14	"isolate"	local:AM-LOC	"systematic way"
15	"devise"	vn.role:Agent	"we"
15	"various methods"	rdfs:subClassOf	"methods"
15	"knowledge"	rdfs:member	"knowledge compilation"
15	"hot spots"	rdfs:subClassOf	"spots"
15	"various"	rdfs:member	"various methods"
15	"knowledge compilation"	rdfs:subClassOf	"compilation"
15	"hot"	rdfs:member	"hot spots"
15	"various methods for knowledge compilation"	local:for_knowledgecompilation	"various methods"
15	"various methods for knowledge compilation"	local:variousmethods_for	"knowledge compilation"
15	"various methods for knowledge compilation based_on hot spots"	local:based_on_hotspots	"various methods for knowledge compilation"
15	"various methods for knowledge compilation based_on hot spots"	local:variousmethodsforknowledgecompilation_based_on	"hot spots"
15	"devise"	vn.role:Product	"various methods for knowledge compilation based_on hot spots"
15	"knowledge"	rdfs:member	"knowledge compilation"
15	"knowledge compilation"	rdfs:subClassOf	"compilation"
15	"based"	vn.role:Cause	"knowledge compilation"
15	"hot"	rdfs:member	"hot spots"
15	"hot spots"	rdfs:subClassOf	"spots"
15	"based"	vn.role:indirect_object	"hot spots"
16	"compare"	vn.role:Agent	"moreover"
16	"compare"	vn.role:Patient1	"we"
16	"various methods"	rdfs:subClassOf	"methods"
16	"various"	rdfs:member	"various methods"
16	"compare"	vn.role:Patient2	"various methods"
16	"hot"	rdfs:member	"hot spots"
16	"hot spots"	rdfs:subClassOf	"spots"
16	"approximate reasoning"	rdfs:subClassOf	"reasoning"
16	"approximate reasoning based_on hot spots"	local:based_on_hotspots	"approximate reasoning"
16	"approximate reasoning based_on hot spots"	local:approximatereasoning_based_on	"hot spots"
16	"compare"	vn.role:Agent	"approximate reasoning based_on hot spots"
16	"hot"	rdfs:member	"hot spots"
16	"hot spots"	rdfs:subClassOf	"spots"
16	"based"	vn.role:indirect_object	"hot spots"
17	"compare"	vn.role:Agent	"moreover"
17	"compare"	vn.role:Patient1	"we"
17	"various methods"	rdfs:subClassOf	"methods"
17	"various"	rdfs:member	"various methods"
17	"compare"	vn.role:Patient2	"various methods"
17	"hot"	rdfs:member	"hot spots"
17	"knowledge"	rdfs:member	"knowledge compilation"
17	"hot spots"	rdfs:subClassOf	"spots"
17	"knowledge compilation"	rdfs:subClassOf	"compilation"
17	"knowledge compilation based_on hot spots"	local:based_on_hotspots	"knowledge compilation"
17	"knowledge compilation based_on hot spots"	local:knowledgecompilation_based_on	"hot spots"
17	"compare"	vn.role:Agent	"knowledge compilation based_on hot spots"
17	"knowledge"	rdfs:member	"knowledge compilation"
17	"knowledge compilation"	rdfs:subClassOf	"compilation"
17	"based"	vn.role:Cause	"knowledge compilation"
